class,synonym,clase,sinónimo
DOID:0060684,ENFL3,DOID:0060684,EFN3
DOID:0060684,nocturnal frontal lobe epilepsy 3,DOID:0060684,epilepsia frontal nocturna 3
DOID:0060685,ENFL4,DOID:0060685,EFN4
DOID:0060685,nocturnal frontal lobe epilepsy 4,DOID:0060685,epilepsia frontal nocturna 4
DOID:0060686,ENFL5,DOID:0060686,EFN5
DOID:0060686,nocturnal frontal lobe epilepsy 5,DOID:0060686,epilepsia frontal nocturna 5
DOID:0060688,cerebral arteriovenous malformation,DOID:0060688,malformación arteriovenosa cerebral
DOID:0060688,intracranial arteriovenous malformation,DOID:0060688,malformación arteriovenosa intracraneal
DOID:0060689,papular atrichia,DOID:0060689,atriquia papular
DOID:0060690,AUNA1,DOID:0060690,AUNA1
DOID:0060690,NSDAN,DOID:0060690,NADNS
DOID:0060690,nonsyndromic dominant auditory neuropathy,DOID:0060690,neuropatía auditiva dominante no sindrómica
DOID:0060691,autosomal dominant Glanzmann thrombasthenia,DOID:0060691,trombastenia de Glanzmann autosómica dominante
DOID:0060691,autosomal dominant thrombasthenia of Glanzmann and Naegeli,DOID:0060691,trombastenia de Glanzmann y Naegeli autosómica dominante
DOID:0060692,ADP platelet receptor P2Y12 defect,DOID:0060692,defecto del receptor plaquetario de ADP P2Y12
DOID:0060692,P2Y12 defect,DOID:0060692,defecto del P2Y12
DOID:0060693,monoamine oxidase A deficiency,DOID:0060693,deficiencia de monoaminooxidasa A
DOID:0060694,Cayman cerebellar ataxia,DOID:0060694,ataxia cerebelosa de Cayman
DOID:0060695,Kok disease,DOID:0060695,enfermedad de Kok
DOID:0060695,congenital stiff man syndrome,DOID:0060695,síndrome del hombre rígido congénito
DOID:0060695,familial startle disease,DOID:0060695,enfermedad del sobresalto familiar
DOID:0060695,hereditary hyperekplexia,DOID:0060695,hiperecplexia hereditaria
DOID:0060695,startle disease,DOID:0060695,enfermedad del sobresalto
DOID:0060696,HKPX1,DOID:0060696,HKPX1
DOID:0060697,HKPX2,DOID:0060697,HKPX2
DOID:0060698,HKPX3,DOID:0060698,HKPX3
DOID:0060699,FBH,DOID:0060699,HBF
DOID:0060699,FBHH,DOID:0060699,HHBF
DOID:0060699,FHH,DOID:0060699,HHF
DOID:0060699,familial benign hypercalcemia,DOID:0060699,hipercalcemia benigna familiar
DOID:0060699,familial benign hypocalciuric hypercalcemia,DOID:0060699,hipercalcemia hipocalciúrica benigna familiar
DOID:0060700,FHH type 1,DOID:0060700,HHF tipo 1
DOID:0060700,HHC1,DOID:0060700,HHC1
DOID:0060700,familial benign hypercalcemia 1,DOID:0060700,hipercalcemia benigna familiar 1
DOID:0060700,familial hypocalciuric hypercalcemia type I,DOID:0060700,hipercalcemia hipocalciúrica familiar tipo I
DOID:0060700,hypocalciuric hypercalcemia type I,DOID:0060700,hipercalcemia hipocalciúrica tipo I
DOID:0060701,FHH type 2,DOID:0060701,HHF tipo 2
DOID:0060701,HHC2,DOID:0060701,HHC2
DOID:0060701,familial hypocalciuric hypercalcemia type 2,DOID:0060701,hipercalcemia hipocalciúrica familiar tipo 2
DOID:0060701,hypocalciuric hypercalcemia type II,DOID:0060701,hipercalcemia hipocalciúrica tipo II
DOID:0060702,FHH type 3,DOID:0060702,HHF tipo 3
DOID:0060702,HHC3,DOID:0060702,HHC3
DOID:0060702,familial hypocalciuric hypercalcemia type 3,DOID:0060702,hipercalcemia hipocalciúrica familiar tipo 3
DOID:0060702,hypocalciuric hypercalcemia type III,DOID:0060702,hipercalcemia hipocalciúrica tipo III
DOID:0060703,FGFR3-related craniosynostosis,DOID:0060703,craneosinostosis asociada a FGFR3
DOID:2340,Premature closure of cranial sutures,DOID:2340,cierre prematuro de las suturas craneales
DOID:0060704,Combined immunodeficiency due to ITK deficiency,DOID:0060704,inmunodeficiencia combinada por deficiencia de ITK
DOID:0060705,XLP1,DOID:0060705,LPX1
DOID:0060706,XIAP deficiency,DOID:0060706,deficiencia de XIAP
DOID:0060706,XLP2,DOID:0060706,LPX2
DOID:0060707,LPFS1,DOID:0060707,SLP1
DOID:0060708,CD27 deficiency,DOID:0060708,deficiencia de CD27
DOID:0060708,LPFS2,DOID:0060708,SLP2
DOID:0060728,NGLY1-CDDG,DOID:0060728,NGLY1-CDDG
DOID:0060728,congenital disorder of deglycosylation,DOID:0060728,trastorno congénito de la desglicosilación
DOID:0060728,congenital disorder of glycosylation type Iv,DOID:0060728,trastorno congénito de la glicosilación tipo IV
DOID:0060728,deficiency of N-glycanase 1,DOID:0060728,deficiencia de N-glicanasa 1
DOID:0060730,dystonia musculorum deformans,DOID:0060730,distonía muscular deformante
DOID:11465,autonomic nervous system disorder,DOID:11465,trastorno del sistema nervioso autónomo
DOID:0060732,9p syndrome,DOID:0060732,síndrome 9p
DOID:0060732,Alfi syndrome,DOID:0060732,síndrome de Alfi
DOID:0060732,monosomy 9p syndrome,DOID:0060732,síndrome de monosomía 9p
DOID:0060733,Carmi syndrome,DOID:0060733,síndrome de Carmi
DOID:0060733,JEB-PA,DOID:0060733,EBJ-AP
DOID:0060733,epidermolysis bullosa junctionalis with pyloric atresia,DOID:0060733,epidermólisis bullosa juntural con atresia pilórica
DOID:0060733,junctional epidermolysis bullosa-pyloric atresia syndrome,DOID:0060733,síndrome de epidermólisis bullosa juntural-atresia pilórica
DOID:3209,congenital junctional epidermolysis bullosa,DOID:3209,epidermólisis bullosa juntural congénita
DOID:0060735,EBS-gen sev,DOID:0060735,EBS-gen sev
DOID:0060735,EBSDM,DOID:0060735,EBS-DM
DOID:0060735,epidermolysis bullosa herpetiformis Dowling-Meara type,DOID:0060735,epidermólisis bullosa herpetiforme tipo Dowling-Meara
DOID:0060735,"epidermolysis bullosa simplex, herpetiformis",DOID:0060735,epidermólisis bullosa simple herpetiforme
DOID:0060735,generalized severe epidermolysis bullosa simplex,DOID:0060735,epidermólisis bullosa simple generalizada severa
DOID:0060736,EBS-O,DOID:0060736,EBS-O
DOID:0060736,EBS-Og,DOID:0060736,EBS-Og
DOID:0060736,EBSOG,DOID:0060736,EBSOG
DOID:0060737,Herlitz type epidermolysis bullosa junctionalis,DOID:0060737,epidermólisis bullosa juntural tipo Herlitz
DOID:0060737,Herlitz-Pearson-type epidermolysis bullosa,DOID:0060737,epidermólisis bullosa tipo Herlitz-Pearson
DOID:0060737,JEB-H,DOID:0060737,EBJ-H
DOID:0060737,JEB-Herlitz type,DOID:0060737,EBJ-tipo Herlitz
DOID:0060737,epidermolysis bullosa letalis,DOID:0060737,epidermólisis bullosa letal
DOID:0060737,junctional epidermolysis bullosa generalisata gravis,DOID:0060737,epidermólisis bullosa juntural generalizada severa
DOID:0060737,"junctional epidermolysis bullosa, Herlitz-Pearson type",DOID:0060737,epidermólisis bullosa juntural tipo Herlitz-Pearson
DOID:0060738,GABEB,DOID:0060738,GABEB
DOID:0060738,JEB-nH gen,DOID:0060738,EBJ-nH gen
DOID:0060738,JEN-nH,DOID:0060738,JEN-nH
DOID:0060738,generalized atrophic benign epidermolysis bullosa,DOID:0060738,epidermólisis bullosa atrófica generalizada benigna
DOID:0060738,"generalized junctional epidermolysis bullosa, non-Herlitz type",DOID:0060738,epidermólisis bullosa juntural generalizada tipo no Herlitz
DOID:0060738,junctional epidermolysis bullosa generalisata mitis,DOID:0060738,epidermólisis bullosa juntural generalizada leve
DOID:0060738,"junctional epidermolysis bullosa, Disentis type",DOID:0060738,epidermólisis bullosa tipo Disentis
DOID:0060739,HFGS,DOID:0060739,HFGS
DOID:0060739,hand-foot-uterus syndrome,DOID:0060739,síndrome mano-pie-útero
DOID:0060740,methylmalonic acidemia due to methylmalonyl-CoA mutase deficiency,DOID:0060740,acidemia metilmalónica por deficiencia de metilmalonil-CoA mutasa
DOID:0060740,methylmalonic aciduria mut type,DOID:0060740,aciduria metilmalónica tipo mut
DOID:0060740,vitamin B12-unresponsive methylmalonic aciduria,DOID:0060740,aciduria metilmalónica resistente a vitamina B12
DOID:0060741,"methylmalonic acidemia, TCblR type",DOID:0060741,acidemia metilmalónica tipo TCblR
DOID:0060741,methylmalonic aciduria due to transcobalamin receptor defect,DOID:0060741,aciduria metilmalónica por defecto del receptor de transcobalamina
DOID:0060742,methylmalonic aciduria cblA type,DOID:0060742,aciduria metilmalónica tipo cblA
DOID:0060742,"methylmalonic aciduria, vitamin B12-responsive due to a defect in synthesis of adenosylcobalamin cb1A type",DOID:0060742,aciduria metilmalónica sensible a vitamina B12 por defecto en la síntesis de adenosilcobalamina tipo cb1A
DOID:0060743,methylmalonic aciduria cblB type,DOID:0060743,aciduria metilmalónica tipo cblB
DOID:0060743,"methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type",DOID:0060743,aciduria metilmalónica sensible a vitamina B12 por defecto en la síntesis de adenosilcobalamina de tipo complementación cblB
DOID:0060744,TDH2B,DOID:0060744,TDH2B
DOID:0060744,congenital hypothyroidism due to dyshormonogenesis 2B,DOID:0060744,hipotiroidismo congénito por dishormonogénesis 2B
DOID:0060744,deafness with goiter,DOID:0060744,sordera con bocio
DOID:0060744,genetic defect in thyroid hormonogenesis 2B,DOID:0060744,defecto genético en la hormonogénesis tiroidea 2B
DOID:0060744,goiter-deafness syndrome,DOID:0060744,síndrome de bocio-sordera
DOID:0060744,thyroid dyshormonogenesis 2B,DOID:0060744,dishormonogénesis tiroidea 2B
DOID:0060745,DHRD,DOID:0060745,DHRD
DOID:0060745,Doyne honeycomb degeneration of retina,DOID:0060745,degeneración retiniana en panal de Doyne
DOID:0060746,cuticular drusen,DOID:0060746,drusas cuticulares
DOID:0060746,drusen of bruch membrane,DOID:0060746,drusas de la membrana de Bruch
DOID:0060746,early adult-onset grouped drusen,DOID:0060746,drusas agrupadas de aparición temprana en el adulto
DOID:0060747,DR syndrome,DOID:0060747,síndrome DR
DOID:0060747,Duane anomaly with radial ray abnormalities and deafness,DOID:0060747,anomalía de Duane con anormalidades del rayo radial y sordera
DOID:0060747,Okihiro syndrome,DOID:0060747,síndrome de Okihiro
DOID:0060747,acrorenocular syndrome,DOID:0060747,síndrome acro-reno-ocular
DOID:0060748,ETL1,DOID:0060748,ELT1
DOID:0060748,partial epilepsy with auditory features,DOID:0060748,epilepsia parcial con manifestaciones auditivas
DOID:3328,"epilepsy, temporal lobe",DOID:3328,epilepsia del lóbulo temporal
DOID:0060749,ETL6,DOID:0060749,ELT6
DOID:0060750,FMTLE,DOID:0060750,ELTMF
DOID:0060750,familial mesial temporal lobe epilepsy,DOID:0060750,epilepsia del lóbulo temporal mesial familiar
DOID:0060751,ETL7,DOID:0060751,ELT7
DOID:0060752,ETL5,DOID:0060752,ELT5
DOID:0060753,EPOLM,DOID:0060753,EPOLM
DOID:0060753,ETL4,DOID:0060753,ELT4
DOID:0060753,occipitotemporal lobe epilepsy and migraine with aura,DOID:0060753,epilepsia del lóbulo occipitotemporal y migraña con aura
DOID:0060754,ETL8,DOID:0060754,ELT8
DOID:0060755,ETL2,DOID:0060755,ELT2
DOID:0060756,SOST1,DOID:0060756,SOST1
DOID:0060757,SOST2,DOID:0060757,SOST2
DOID:0060758,AID deficiency,DOID:0060758,deficiencia de AID
DOID:0060758,HIGM2,DOID:0060758,HIGM2
DOID:0060758,activation-induced cytidine deaminase deficiency,DOID:0060758,deficiencia de citidina desaminasa inducida por activación
DOID:0060758,hyper-IgM syndrome type 2,DOID:0060758,síndrome de hiper-IgM tipo 2
DOID:0060759,HIGM5,DOID:0060759,HIGM5
DOID:0060759,hyper-IgM syndrome 5,DOID:0060759,síndrome de hiper-IgM 5
DOID:0060759,hyper-IgM syndrome due to UNG deficiency,DOID:0060759,síndrome de hiper-IgM por deficiencia de UNG
DOID:0060759,hyper-IgM syndrome due to uracil N-glycosylase,DOID:0060759,síndrome de hiper-IgM por uracil-N-glicosilasa
DOID:0060760,HIGM4,DOID:0060760,HIGM4
DOID:0060760,hyper-IgM syndrome type 4,DOID:0060760,síndrome de hiper-IgM tipo 4
DOID:0060761,familial CML-like syndrome,DOID:0060761,síndrome familiar similar a la LMC
DOID:8552,CML,DOID:8552,LMC
DOID:8552,CML - chronic Myelogenous Leukemia,DOID:8552,LMC - Leucemia mielógena crónica
DOID:8552,"Myeloid Leukemia, chronic",DOID:8552,leucemia mieloide crónica
DOID:8552,chronic granulocytic leukaemia,DOID:8552,leucemia granulocítica crónica
DOID:8552,chronic granulocytic leukemia,DOID:8552,leucemia granulocítica crónica
DOID:8552,chronic myelogenous leukaemia,DOID:8552,leucemia mielógena crónica
DOID:8552,chronic myelogenous leukemia,DOID:8552,leucemia mielógena crónica
DOID:8552,chronic myeloid leukaemia,DOID:8552,leucemia mieloide crónica
DOID:0060762,Infantile restrictive dermopathy,DOID:0060762,dermopatía restrictiva infantil
DOID:0060762,Lethal tight skin contracture syndrome,DOID:0060762,síndrome letal de contractura por piel rígida
DOID:0060762,hyperkeratosis-contracture syndrome,DOID:0060762,síndrome de hiperqueratosis-contractura
DOID:0060762,lethal restrictive dermopathy,DOID:0060762,dermopatía restrictiva letal
DOID:0060762,tight skin contracture syndrome,DOID:0060762,síndrome de contractura por piel rígida
DOID:0060763,X-linked juvenile retinoschisis,DOID:0060763,retinosquisis juvenil ligada al X
DOID:0060763,X-linked retinoschisis,DOID:0060763,retinosquisis ligada al X
DOID:0060763,XLRS,DOID:0060763,RLX
DOID:0060764,COVESDEM syndrome,DOID:0060764,síndrome COVESDEM
DOID:0060764,RRS,DOID:0060764,SRR
DOID:0060764,costovertebral segmentation defect-mesomelia syndrome,DOID:0060764,síndrome de segmentación costovertebral defectuosa-mesomelia
DOID:0060765,DRS2,DOID:0060765,SRD2
DOID:0060766,DRS1,DOID:0060766,SRD1
DOID:0060767,DRS3,DOID:0060767,SRD3
DOID:0060768,17p11.2 microdeletion syndrome,DOID:0060768,síndrome de microdeleción 17p11.2
DOID:0060768,chromosome 17p11.2 deletion syndrome,DOID:0060768,síndrome de deleción cromosómica 17p11.2
DOID:0060773,CLPED1,DOID:0060773,CLPED1
DOID:0060773,Margarita type of ectodermal dysplasia,DOID:0060773,displasia ectodérmica tipo Margarita
DOID:0060773,Zlotogora-Zilberman-Tenenbaum syndrome,DOID:0060773,síndrome de Zlotogora-Zilberman-Tenenbaum
DOID:0060773,cleft lip/palate-syndactyly-pili torti syndrome,DOID:0060773,síndrome de hendidura labiopalatina-sindactilia-pili torti
DOID:0060773,syndactyly-ectodermal dysplasia-cleft/lip palate,DOID:0060773,sindactilia-displasia ectodérmica-hendidura labiopalatina
DOID:0060782,Rudiger syndrome 1,DOID:0060782,síndrome de Rudiger 1
DOID:0060782,Walker-Clodius syndrome,DOID:0060782,síndrome de Walker-Clodius
DOID:0060782,"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome",DOID:0060782,"síndrome de ectrodactilia, displasia ectodérmica y hendidura labiopalatina"
DOID:0060782,ectrodactyly-ectodermal dysplasia-clefting syndrome,DOID:0060782,síndrome de ectrodactilia-displasia ectodérmica-hendidura
DOID:0060783,EEC syndrome 3,DOID:0060783,síndrome EEC 3
DOID:0060783,EEC3,DOID:0060783,EEC3
DOID:0060784,EEC syndrome 1,DOID:0060784,síndrome EEC 1
DOID:0060784,EEC1,DOID:0060784,EEC1
DOID:0060785,ADLD,DOID:0060785,LDAD
DOID:0060785,adult-onset autosomal dominant leukodystrophy,DOID:0060785,leucodistrofia autosómica dominante del adulto
DOID:0060785,autosomal-dominant or late-onset type Pelizaeus-Merzbacher disease,DOID:0060785,enfermedad de Pelizaeus-Merzbacher autosómica dominante o de inicio tardío
DOID:0060786,HLD,DOID:0060786,HLD
DOID:0060787,HLD2,DOID:0060787,HLD2
DOID:0060787,PMLD1,DOID:0060787,PMLD1
DOID:0060787,Pelizaeus-Merzbacher-like disease 1,DOID:0060787,enfermedad tipo Pelizaeus-Merzbacher 1
DOID:0060787,Pelizaeus-Merzbacher-like disease due to GJC2 mutation,DOID:0060787,enfermedad tipo Pelizaeus-Merzbacher por mutación en GJC2
DOID:0060788,HLD10,DOID:0060788,HLD10
DOID:0060789,HLD4,DOID:0060789,HLD4
DOID:0060789,MitCHAP60 disease,DOID:0060789,enfermedad de MitCHAP-60
DOID:0060789,Pelizaeus-Merzbacher-like disease due to HSPD1 mutation,DOID:0060789,enfermedad tipo Pelizaeus-Merzbacher por mutación en HSPD1
DOID:0060789,mitochondrial HSP60 chaperonopathy,DOID:0060789,chaperonopatía mitocondrial HSP60
DOID:0060790,HLD3,DOID:0060790,HLD3
DOID:0060790,Pelizaeus-Merzbacher-like disease due to AIMP1 mutation,DOID:0060790,enfermedad tipo Pelizaeus-Merzbacher por mutación en AIMP1
DOID:0060791,HLD9,DOID:0060791,HLD9
DOID:0060791,RARS-related autosomal recessive hypomyelinating leukodystrophy,DOID:0060791,leucodistrofia hipomielinizante autosómica recesiva asociada a RARS
DOID:0060792,HLD11,DOID:0060792,HLD11
DOID:0060793,HLD5,DOID:0060793,HLD5
DOID:0060793,hypomyelination-congenital cataract syndrome,DOID:0060793,síndrome de hipomielinización-catarata congénita
DOID:0060794,HLD7,DOID:0060794,HLD7
DOID:0060794,TACH syndrome,DOID:0060794,síndrome TACH
DOID:0060794,ataxia-delayed dentition-hypomyelination syndrome; odontoleukodystrophy,DOID:0060794,síndrome de ataxia-dentición tardía-hipomielinización; odontoleucodistrofia
DOID:0060794,dentoleukoencephalopathy,DOID:0060794,dentoleucoencefalopatía
DOID:0060794,hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome,DOID:0060794,síndrome de hipomielinización-atrofia cerebelosa-hipoplasia del cuerpo calloso
DOID:0060794,leukodystrophy with oligodontia,DOID:0060794,leucodistrofia con oligodoncia
DOID:0060794,leukoencephalopathy-ataxia-hypodontia-hypomyelination syndrome,DOID:0060794,síndrome de leucoencefalopatía-ataxia-hipodoncia-hipomielinización
DOID:0060794,tremor-ataxia-central hypomyelination syndrome,DOID:0060794,síndrome de temblor-ataxia-hipomielinización central
DOID:0060795,HLD13,DOID:0060795,HLD13
DOID:0060796,HLD12,DOID:0060796,HLD12
DOID:0060797,HLD8,DOID:0060797,HLD8
DOID:0060798,H-ABC,DOID:0060798,H-ABC
DOID:0060798,HABC,DOID:0060798,HABC
DOID:0060798,HLD6,DOID:0060798,HLD6
DOID:0060798,hypomyelinating leukodystrophy with atrophy of the basal ganglia and cerebellum,DOID:0060798,leucodistrofia hipomielinizante con atrofia de ganglios basales y cerebelo
DOID:0060798,hypomyelination with atrophy of basal ganglia and cerebellum,DOID:0060798,hipomielinización con atrofia de ganglios basales y cerebelo
DOID:0060799,Lubs X-linked mental retardation syndrome,DOID:0060799,síndrome de retraso mental de Lubs ligado al X
DOID:0060799,MECP2 duplication syndrome,DOID:0060799,síndrome de duplicación MECP2
DOID:0060799,MRXSL,DOID:0060799,RMSLXL
DOID:0060799,X-linked intellectual disability-hypotonia-recurrent Infections syndrome,DOID:0060799,síndrome de discapacidad intelectual-hipotonía-infecciones recurrentes ligado al X
DOID:0060799,"mental retardation, X-linked, syndromic, Lubs type",DOID:0060799,retraso mental sindrómico ligado al X tipo Lubs
DOID:0060799,"mental retardation, X-linked, with recurrent respiratory infections",DOID:0060799,retraso mental ligado al X con infecciones respiratorias recurrentes
DOID:0060800,Fried syndrome,DOID:0060800,síndrome de Fried
DOID:0060800,MRX59,DOID:0060800,RMX59
DOID:0060800,MRXS21,DOID:0060800,RMSX21
DOID:0060800,"Mental retardation, X-linked syndromic 5",DOID:0060800,retraso mental sindrómico ligado al X tipo 5
DOID:0060800,Pettigrew syndrome,DOID:0060800,síndrome de Pettigrew
DOID:0060800,X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,DOID:0060800,síndrome de discapacidad intelectual ligada al X-malformación de Dandy-Walker-enfermedad de los ganglios basales-convulsiones
DOID:0060800,X-linked mental retardation 59,DOID:0060800,retraso mental ligado al X tipo 59
DOID:0060800,"X-linked metal retardation with Dandy-Walker malformation, basal ganglia disease, and seizures",DOID:0060800,"retraso mental ligado al X con malformación de Dandy-Walker, enfermedad de ganglios basales y convulsiones"
DOID:0060800,syndromic X-linked mental retardation 21,DOID:0060800,retraso mental sindrómico ligado al X tipo 21
DOID:0060800,syndromic X-linked mental retardation Fried type,DOID:0060800,retraso mental sindrómico ligado al X tipo Fried
DOID:0060801,MRXS20,DOID:0060801,RMSX20
DOID:0060801,MRXS25,DOID:0060801,RMSX25
DOID:0060801,X-linked intellectual disability-epileptic seizures-hypogenitalism-microcephaly-obesity syndrome,DOID:0060801,síndrome de discapacidad intelectual ligada al X-convulsiones epilépticas-hipogenitalismo-microcefalia-obesidad
DOID:0060801,"mental retardation, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, and obesity",DOID:0060801,"retraso mental, convulsiones epilépticas, hipogonadismo e hipogenitalismo, microcefalia y obesidad"
DOID:0060801,syndromic X-linked mental retardation 20,DOID:0060801,retraso mental sindrómico ligado al X tipo 20
DOID:0060801,syndromic X-linked mental retardation 25,DOID:0060801,retraso mental sindrómico ligado al X tipo 25
DOID:0060802,SRS,DOID:0060802,SRS
DOID:0060802,Snyder-Robinson mental retardation syndrome,DOID:0060802,síndrome de retraso mental de Snyder-Robinson
DOID:0060802,Snyder-Robinson syndrome,DOID:0060802,síndrome de Snyder-Robinson
DOID:0060802,"mental retardation, X-linked, Snyder-Robinson type",DOID:0060802,retraso mental ligado al X tipo Snyder-Robinson
DOID:0060802,spermine synthase deficiency,DOID:0060802,deficiencia de espermina sintasa
DOID:0060803,X-linked mental retardation with alacrima and achalasia,DOID:0060803,retraso mental ligado al X con alacrimia y acalasia
DOID:0060803,intellectual disability-alacrima-achalasia syndrome,DOID:0060803,síndrome de discapacidad intelectual-alacrimia-acalasia
DOID:0060803,"mental retardation, X-linked, syndromic 17",DOID:0060803,retraso mental sindrómico ligado al X tipo 17
DOID:0060804,"X-linked intellectual disability, Wilson type",DOID:0060804,discapacidad intelectual ligada al X tipo Wilson
DOID:0060804,"mental retardation, X-linked, syndromic 12",DOID:0060804,retraso mental sindrómico ligado al X tipo 12
DOID:0060805,Prieto-Badia-Mulas syndrome,DOID:0060805,síndrome de Prieto-Badia-Mulas
DOID:0060805,X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome,DOID:0060805,síndrome de discapacidad intelectual ligada al X-dismorfismo-atrofia cerebral
DOID:0060806,MRXE,DOID:0060806,RMXE
DOID:0060806,MRXSH,DOID:0060806,RMSXH
DOID:0060806,X-linked mental retardation with epilepsy,DOID:0060806,retraso mental ligado al cromosoma X con epilepsia
DOID:0060806,"mental retardation, X-linked, syndromic, Hedera type",DOID:0060806,retraso mental sindrómico ligado al X tipo Hedera
DOID:0060807,MICPCH,DOID:0060807,MICPCH
DOID:0060807,X-linked intellectual disability-microcephaly-pontocerebellar hypoplasia syndrome,DOID:0060807,síndrome de discapacidad intelectual ligada al X-microcefalia-hipoplasia pontocerebelosa
DOID:0060807,mental retardation and microcephaly with pontine and cerebellar hypoplasia,DOID:0060807,retraso mental y microcefalia con hipoplasia pontina y cerebelosa
DOID:0060808,MRXS7,DOID:0060808,RMSX7
DOID:0060808,"X-linked intellectual disability, Ahmad type",DOID:0060808,discapacidad intelectual ligada al X tipo Ahmad
DOID:0060808,"mental retardation, X-linked syndromic 7",DOID:0060808,retraso mental sindrómico ligado al X tipo 7
DOID:0060809,MRXSCJ,DOID:0060809,RMSXCJ
DOID:0060809,MRXSJ,DOID:0060809,RMSXJ
DOID:0060809,"mental retardation, X-linked, syndromic, Claes-Jensen type",DOID:0060809,retraso mental sindrómico ligado al X tipo Claes-Jensen
DOID:0060809,syndromic X-linked intellectual disability due to JARID1C mutation,DOID:0060809,discapacidad intelectual sindrómica ligada al X por mutación de JARID1C
DOID:0060809,syndromic X-linked mental retardation JARID1C-related,DOID:0060809,retraso mental sindrómico ligado al X asociado a JARID1C
DOID:0060810,"HSD10 deficiency, atypical type",DOID:0060810,deficiencia de HSD10 atípica
DOID:0060810,"HSD10 disease, atypical type",DOID:0060810,enfermedad HSD10 atípica
DOID:0060810,MRXS10,DOID:0060810,RMSX10
DOID:0060810,X-linked intellectual disability-choreoathetosis-abnormal behavior syndrome,DOID:0060810,síndrome de discapacidad intelectual ligada al X-coreoatetosis-comportamiento anormal
DOID:0060810,"mental retardation, X-linked syndromic 10",DOID:0060810,retraso mental sindrómico ligado al X tipo 10
DOID:0060811,Brooks-Wisniewski-Brown syndrome,DOID:0060811,síndrome de Brooks-Wisniewski-Brown
DOID:0060811,MRXST,DOID:0060811,RMSXT
DOID:0060811,"X-linked intellectual disability, Brooks type",DOID:0060811,discapacidad intelectual ligada al X tipo Brooks
DOID:0060811,mental retardation and macrocephaly syndrome,DOID:0060811,síndrome de retraso mental y macrocefalia
DOID:0060811,"mental retardation, X-linked syndromic, Turner type",DOID:0060811,retraso mental sindrómico ligado al X tipo Turner
DOID:0060812,MRXSSD,DOID:0060812,RMSXSD
DOID:0060812,Siderius X-linked mental retardation syndrome,DOID:0060812,síndrome de retraso mental ligado al X tipo Siderius
DOID:0060812,Siderius-Hamel syndrome,DOID:0060812,síndrome de Siderio-Hamel
DOID:0060812,"mental retardation syndrome, X-linked, Siderius type",DOID:0060812,síndrome de retraso mental ligado al X tipo Siderius
DOID:0060813,MRXS9,DOID:0060813,RMSX9
DOID:0060813,"mental retardation, X-linked, syndromic 9",DOID:0060813,retraso mental sindrómico ligado al X tipo 9
DOID:0060814,MRXS6,DOID:0060814,RMSX6
DOID:0060814,WTS,DOID:0060814,SWT
DOID:0060814,X-linked intellectual disability-gynecomastia-obesity syndrome,DOID:0060814,síndrome de discapacidad intelectual ligada al X-ginecomastia-obesidad
DOID:0060814,"mental retardation, X-linked, syndromic 6",DOID:0060814,retraso mental sindrómico ligado al X tipo 6
DOID:0060814,"mental retardation, X-linked, with gynecomastia and obesity",DOID:0060814,retraso mental ligado al X con ginecomastia y obesidad
DOID:0060815,MCS,DOID:0060815,MCS
DOID:0060815,MRXS4,DOID:0060815,RMSX4
DOID:0060815,"X-linked intellectual disability, Miles-Carpenter type",DOID:0060815,discapacidad intelectual ligada al X tipo Miles-Carpenter
DOID:0060815,"mental retardation, X-linked, syndromic 4",DOID:0060815,retraso mental sindrómico ligado al X tipo 4
DOID:0060815,"mental retardation, X-linked, with congenital contractures and low fingertip arches",DOID:0060815,retraso mental ligado al X con contracturas y puntas de dedos arqueadas cóngenitas
DOID:0060816,Graham-Cox syndrome,DOID:0060816,síndrome de Graham-Cox
DOID:0060816,MRXS28,DOID:0060816,RMSX28
DOID:0060816,"corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia",DOID:0060816,"agenesia del cuerpo calloso con retraso mental, coloboma ocular y micrognatia"
DOID:0060816,"mental retardation, X-linked, syndromic 28",DOID:0060816,retraso mental sindrómico ligado al X tipo 28
DOID:0060817,MRXS34,DOID:0060817,RMSX34
DOID:0060817,MRXSML,DOID:0060817,RMSXML
DOID:0060817,macrocephaly-intellectual disability-left ventricular non compaction syndrome,DOID:0060817,síndrome de macrocefalia-discapacidad intelectual-ventrículo izquierdo no compacto
DOID:0060817,"mental retardation, X-linked, syndromic 34",DOID:0060817,retraso mental sindrómico ligado al X tipo 34
DOID:0060817,syndromic X-linked mental retardation Mircsof-Langouet type,DOID:0060817,retraso mental sindrómico ligado al X tipo Mircsof-Langouet
DOID:0060818,MRXSAB,DOID:0060818,RMSXAB
DOID:0060818,"mental retardation, X-linked syndromic, Abidi type",DOID:0060818,retraso mental sindrómico ligado al X tipo Abidi
DOID:0060818,syndromic X-linked mental retardation Abidi type,DOID:0060818,retraso mental sindrómico ligado al X tipo Abidi
DOID:0060819,MRXSCS,DOID:0060819,RMSXCS
