clase,etiqueta,def
http://purl.obolibrary.org/obo/DOID_0070284,microcefalia primaria autosómica recesiva 12,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen CDK6 del cromosoma 7q21.
http://purl.obolibrary.org/obo/DOID_0070285,microcefalia primaria autosómica recesiva 1,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen MCPH1 del cromosoma 8p23.
http://purl.obolibrary.org/obo/DOID_0070286,microcefalia primaria autosómica recesiva 3,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen CDK5RAP2 del cromosoma 9q33.
http://purl.obolibrary.org/obo/DOID_0070287,microcefalia primaria autosómica recesiva 11,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen PHC1 del cromosoma 12p13.
http://purl.obolibrary.org/obo/DOID_0070288,microcefalia primaria autosómica recesiva 17,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen CIT del cromosoma 12q24.
http://purl.obolibrary.org/obo/DOID_0070289,microcefalia primaria autosómica recesiva 16,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen ANKLE2 del cromosoma 12q24.
http://purl.obolibrary.org/obo/DOID_0070290,microcefalia primaria autosómica recesiva 6,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen CENPJ del cromosoma 13q12.
http://purl.obolibrary.org/obo/DOID_0070291,microcefalia primaria autosómica recesiva 4,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen KNL1 del cromosoma 15q15.
http://purl.obolibrary.org/obo/DOID_0070292,microcefalia primaria autosómica recesiva 9,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen CEP152 del cromosoma 15q21.
http://purl.obolibrary.org/obo/DOID_0070293,microcefalia primaria autosómica recesiva 2 con o sin malformaciones corticales,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen WDR62 del cromosoma 19q13.
http://purl.obolibrary.org/obo/DOID_0070294,microcefalia primaria autosómica recesiva 10,Una microcefalia primaria autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen ZNF335 del cromosoma 20q13.
http://purl.obolibrary.org/obo/DOID_0070295,microcefalia primaria autosómica dominante 18,Una microcefalia primaria que tiene_su_base_material_en una mutación heterocigota en el gen WDFY3 del cromosoma 4q21.
http://purl.obolibrary.org/obo/DOID_0070297,microcefalia primaria,"Una microcefalia caracterizada por microcefalia presente al nacer, en la que el cerebro es pequeño pero tiene una arquitectura normal, y retraso mental no progresivo."
http://purl.obolibrary.org/obo/DOID_0070315,síndrome del corazón derecho hipoplásico,"Enfermedad cardiaca congénita caracterizada por el subdesarrollo de las estructuras del lado derecho del corazón, comúnmente asociada a una comunicación interauricular."
http://purl.obolibrary.org/obo/DOID_0070336,artrogriposis múltiple congénita-6,"Una artrogriposis múltiple congénita caracterizada por contracturas articulares congénitas, rasgos faciales dismórficos, anomalías esqueléticas distales con manos apretadas y pies zambos, y edema con hidropesía fetal y que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen NEB del cromosoma 2q23."
http://purl.obolibrary.org/obo/DOID_0080954,artrogriposis múltiple congénita,Enfermedad del sistema nervioso que se caracteriza por el desarrollo de contracturas articulares múltiples que afectan a dos o más zonas del cuerpo antes del nacimiento.
http://purl.obolibrary.org/obo/DOID_0080073,espina bífida oculta,Una espina bífida que se caracteriza por pequeñas fisuras en las vértebras en las que la parte externa de algunas de ellas no está completamente cerrada.
http://purl.obolibrary.org/obo/DOID_0080079,trastorno ungueal congénito no sindrómico 1,"Trastorno ungueal congénito no sindrómico que se caracteriza por un exceso de estrías longitudinales y numerosas picaduras superficiales en las uñas, que tienen un aspecto distintivo áspero, como de papel de lija."
http://purl.obolibrary.org/obo/DOID_0080683,trastorno ungueal congénito no sindrómico,Enfermedad ungueal que se caracteriza por el subdesarrollo de las uñas.
http://purl.obolibrary.org/obo/DOID_0080080,trastorno ungueal congénito no sindrómico 2,"Trastorno ungueal congénito no sindrómico que se caracteriza por uñas anormalmente delgadas y cóncavas de lado a lado, con los bordes vueltos hacia arriba."
http://purl.obolibrary.org/obo/DOID_0080081,trastorno ungueal congénito no sindrómico 3,Trastorno ungueal congénito no sindrómico que se caracteriza por la decoloración blanca de las uñas.
http://purl.obolibrary.org/obo/DOID_0080082,trastorno congénito no sindrómico de las uñas 4,"Un trastorno congénito no sindrómico de las uñas que se caracteriza por la ausencia completa o hipoplasia grave de todas las uñas de manos y pies sin anomalías óseas significativas, y que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen R-espondina-4 del cromosoma 20p13."
http://purl.obolibrary.org/obo/DOID_0080083,trastorno ungueal congénito no sindrómico 5,"Trastorno ungueal congénito no sindrómico que se caracteriza por una tasa de crecimiento disminuida, uñas gruesas y duras y un borde proximal de desprendimiento recto o cóncavo."
http://purl.obolibrary.org/obo/DOID_0080084,trastorno ungueal congénito no sindrómico 6,Trastorno ungueal congénito no sindrómico que se caracteriza por la ausencia parcial de uñas.
http://purl.obolibrary.org/obo/DOID_0080085,trastorno ungueal congénito no sindrómico 7,"Trastorno ungueal congénito no sindrómico que se caracteriza por uñas con estrías longitudinales, adelgazamiento de la lámina ungueal, lúnulas poco desarrolladas o ausentes, junto con una formación de la lámina ungueal alterada de forma diversa que conduce a una mayor vulnerabilidad de los márgenes libres de la uña."
http://purl.obolibrary.org/obo/DOID_0080086,trastorno ungueal congénito no sindrómico 8,Trastorno ungueal congénito no sindrómico que se caracteriza por la distrofia únicamente de las uñas de los pies.
http://purl.obolibrary.org/obo/DOID_0080087,trastorno ungueal congénito no sindrómico 9,"Un trastorno ungueal congénito no sindrómico que se caracteriza por uñas normales al nacer con cambios distróficos que se desarrollan en la primera década de la vida, dando lugar a onicólisis de las uñas de las manos y anoniquia de las uñas de los pies."
http://purl.obolibrary.org/obo/DOID_0080101,miopatía congénita Compton-North,"Una miopatía congénita que tiene_su_base_material_en mutación homocigota en el gen CNTN1 del cromosoma 12q12 y que se caracteriza antenatalmente, por acinesia fetal, restricción del crecimiento intrauterino y polihidramnios y, tras el nacimiento, por hipotonía neonatal grave, debilidad muscular esquelética, bulbar y respiratoria generalizada grave, contracturas múltiples en flexión y niveles séricos normales de creatina quinasa."
http://purl.obolibrary.org/obo/DOID_0080102,miopatía congénita 4A,"Una miopatía congénita que se caracteriza por debilidad muscular esquelética, sobre todo en los músculos de los hombros, la parte superior de los brazos, las caderas y los muslos."
http://purl.obolibrary.org/obo/DOID_0080138,síndrome de anomalías congénitas múltiples-hipotonía-convulsiones 1,"Un síndrome de anomalías congénitas múltiples-hipotonía-convulsiones que se caracteriza por hipotonía neonatal, falta de desarrollo psicomotor, convulsiones, rasgos dismórficos y anomalías congénitas variables que afectan a los sistemas cardiaco, urinario y gastrointestinal y tiene_su_base_material_en una mutación homocigota en el gen PIGN en el cromosoma 18q21."
http://purl.obolibrary.org/obo/DOID_0080503,síndrome de anomalías congénitas múltiples-hipotonía-convulsiones,"Trastorno del metabolismo de los lípidos que se caracteriza por un grave retraso global del desarrollo, hipotonía y convulsiones de aparición temprana, asociado a múltiples anomalías congénitas cardiacas, genitourinarias y gastrointestinales."
http://purl.obolibrary.org/obo/DOID_0080139,síndrome de anomalías congénitas múltiples-hipotonía-convulsiones 2,"Un síndrome de anomalías congénitas múltiples-hipotonía-convulsiones que se caracteriza por la herencia recesiva ligada al cromosoma X de rasgos dismórficos, hipotonía neonatal, convulsiones mioclónicas y anomalías variables que afectan a los sistemas nervioso central, cardiaco y urinario que tiene_su_base_material_en la mutación del gen PIGA en el cromosoma Xp22."
http://purl.obolibrary.org/obo/DOID_0080140,síndrome de anomalías congénitas múltiples-hipotonía-convulsiones 3,"Síndrome de anomalías congénitas múltiples-hipotonía-convulsiones que se caracteriza por hipotonía neonatal, falta de desarrollo psicomotor, convulsiones, rasgos dismórficos y anomalías congénitas variables que afectan a los sistemas cardiaco, urinario y gastrointestinal y que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen PIGT del cromosoma 20q13."
http://purl.obolibrary.org/obo/DOID_0080143,fibrosis congénita de los músculos extraoculares,"Enfermedad de la motilidad ocular que se caracteriza por la incapacidad de mover los ojos en determinadas direcciones, párpados caídos y ojos fijos en una posición anormal."
http://purl.obolibrary.org/obo/DOID_0080173,complejo de extrofia vesical-epispadias-extrofia cloacal,"Trastorno físico que se caracteriza por un espectro de anomalías que afectan al tracto urinario, el tracto genital, el sistema musculoesquelético y, en ocasiones, el tracto intestinal."
http://purl.obolibrary.org/obo/DOID_0080174,extrofia vesical,"Complejo de extrofia vesical-epispadias-extrofia cloacal que se caracteriza por una placa vesical evaginada, epispadias y un defecto anterior de la pelvis, el suelo pélvico y la pared abdominal. La porción posterior de la pared de la vejiga (pared vesical posterior) gira hacia fuera (extrofia) a través de una abertura en la pared abdominal y la orina se excreta a través de esta abertura."
http://purl.obolibrary.org/obo/DOID_0080175,extrofia cloacal,"Complejo de extrofia vesical-epispadias-extrofia cloacal que se caracteriza por un defecto en la uretra, la vejiga y el intestino."
http://purl.obolibrary.org/obo/DOID_0080180,Síndrome congénito por el virus del Zika,"Síndrome que se caracteriza en los neonatos por microcefalia, desproporción craneofacial, espasticidad, convulsiones, irritabilidad y disfunción del tronco encefálico, incluidas dificultades para alimentarse, anomalías oculares y hallazgos en neuroimagen como calcificaciones, trastornos corticales y ventriculomegalia, y que tiene_su_base_material_en la adquisición de la infección por el virus del Zika en el útero."
http://purl.obolibrary.org/obo/DOID_0080197,distrofia muscular congénita con cataratas y discapacidad intelectual,Una distrofia muscular congénita caracterizada por la aparición de debilidad muscular progresiva en la primera infancia con herencia autosómica recesiva que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen INPP5K (607875) en el cromosoma 17p13.
http://purl.obolibrary.org/obo/DOID_0080257,ictiosis congénita autosómica recesiva 13,"Una ictiosis congénita autosómica recesiva que se caracteriza por ictiosis lamelar, ectropión, eclabio e hiperqueratosis que tiene_su_base_material_en una mutación homocigota en el gen SDR9C7 del cromosoma 12q13."
http://purl.obolibrary.org/obo/DOID_0080258,ictiosis congénita autosómica recesiva 14,"Una ictiosis congénita autosómica recesiva que se caracteriza por ictiosis lamelar, ectropión, eclabio e hiperqueratosis que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen SULT2B1 del cromosoma 19q13."
http://purl.obolibrary.org/obo/DOID_0080313,Síndrome de paladar hendido-sinequia lateral,Trastorno físico que se caracteriza por la fusión del maxilar y la mandíbula.
http://purl.obolibrary.org/obo/DOID_0080395,hendidura orofacial 1,Una hendidura orofacial caracterizada por una herencia autosómica dominante que tiene_su_base_material_en la variación de la región cromosómica 6p24.3.
http://purl.obolibrary.org/obo/DOID_0080396,hendidura orofacial 2,Una hendidura orofacial que tiene_su_base_material_en la variación en la región cromosómica 2p13.
http://purl.obolibrary.org/obo/DOID_0080397,hendidura orofacial 3,Una hendidura orofacial que tiene_su_base_material_en la variación de la región cromosómica 19q13.
http://purl.obolibrary.org/obo/DOID_0080398,hendidura orofacial 4,Una hendidura orofacial que tiene_su_base_material_en la variación de la región cromosómica 4q21-q31.
http://purl.obolibrary.org/obo/DOID_0080399,hendidura orofacial 5,Una hendidura orofacial que tiene_su_base_material_en mutación en el gen MSX1 en el cromosoma 4p16.
http://purl.obolibrary.org/obo/DOID_0080400,hendidura orofacial 7,Una hendidura orofacial que tiene_su_base_material_en una mutación homocigota en el gen PVRL1 del cromosoma 11q23.
http://purl.obolibrary.org/obo/DOID_0080401,hendidura orofacial 8,Una hendidura orofacial que tiene_su_base_material_en una mutación heterocigota en el gen TP63 en el cromosoma 3q28.
http://purl.obolibrary.org/obo/DOID_0080402,hendidura orofacial 9,Una hendidura orofacial que tiene_su_base_material_en la variación de la región cromosómica 13q33.1-q34.
http://purl.obolibrary.org/obo/DOID_0080403,hendidura orofacial 10,Una hendidura orofacial que tiene_su_base_material_en mutación en el gen SUMO1 en el cromosoma 2q33.
http://purl.obolibrary.org/obo/DOID_0080404,hendidura orofacial 11,Una hendidura orofacial que tiene_su_base_material_en una mutación heterocigota en el gen BMP4 en el cromosoma 14q22.
http://purl.obolibrary.org/obo/DOID_0080405,hendidura orofacial 12,Una hendidura orofacial que tiene_su_base_material_en la variación de la región cromosómica 8q24.3.
http://purl.obolibrary.org/obo/DOID_0080406,hendidura orofacial 13,Una hendidura orofacial caracterizada por herencia autosómica dominante que tiene_su_base_material_en la variación en la región cromosómica 1p33 asociada al enriquecimiento del alelo T del SNP rs3827730.
http://purl.obolibrary.org/obo/DOID_0080407,hendidura orofacial 14,"Una hendidura orofacial que se caracteriza por hendiduras medianas incompletas tanto del labio inferior como del superior, doble frenillo labial y fusión de la encía superior y la mucosa labial superior, además de una mala alineación dental, y una mayor distancia interdental entre los incisivos medianos inferiores y superiores."
http://purl.obolibrary.org/obo/DOID_0080408,hendidura orofacial 15,Una hendidura orofacial que tiene_su_base_material_en la mutación del gen DLX4 en el cromosoma 17q21.
http://purl.obolibrary.org/obo/DOID_0080552,trastorno congénito de la glucosilación Ia,"Un trastorno congénito de la glucosilación I que se caracteriza por una encefalopatía grave con hipotonía axial, movimiento anormal de los ojos, retraso psicomotor pronunciado, neuropatía periférica, hipoplasia cerebelosa y retinitis pigmentaria y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen que codifica la fosfomanomutasa-2 en el cromosoma 16p13."
http://purl.obolibrary.org/obo/DOID_0080553,trastorno congénito de la glicosilación Iaa,Un trastorno congénito de la glicosilación I que se caracteriza por fibroblastos con perfiles de dolicol reducidos y mayor acumulación de colesterol libre y tiene_su_base_material_en mutación homocigota en el gen NUS1 en el cromosoma 6q22.
http://purl.obolibrary.org/obo/DOID_0080554,trastorno congénito de la glucosilación Ib,"Un trastorno congénito de la glucosilación I que se caracteriza por enteropatía perdedora de proteínas, vómitos cíclicos, hipoglucemia profunda, retraso del crecimiento, fibrosis hepática, enteropatía perdedora de proteínas con hipoalbuminemia, hemorragia intestinal potencialmente mortal de origen difuso, deficiencia de proteínas C y S, niveles bajos de antitrombina III y tiene_su_base_material_en una mutación heterocigota compuesta en el gen que codifica la manosa-6-fosfato isomerasa en el cromosoma 15q24."
http://purl.obolibrary.org/obo/DOID_0080555,trastorno congénito de la glucosilación Ic,"Un trastorno congénito de la glucosilación I que se caracteriza por retraso psicomotor con retraso en la marcha y el habla, hipotonía, convulsiones y, en ocasiones, enteropatía con pérdida de proteínas y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ALG6 del cromosoma 1p31."
http://purl.obolibrary.org/obo/DOID_0080556,trastorno congénito de la glicosilación I,Un trastorno congénito de la glicosilación I que se caracteriza por una afectación neurológica grave asociada a dismorfismo y deficiencia visual y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ALG3 del cromosoma 3q27.
http://purl.obolibrary.org/obo/DOID_0080557,trastorno congénito de la glucosilación Ie,"Un trastorno congénito de la glucosilación I que se caracteriza por retraso psicomotor, convulsiones, hipotonía, dismorfismo facial y microcefalia y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen DPM1 del cromosoma 20q13."
http://purl.obolibrary.org/obo/DOID_0080558,trastorno congénito de la glucosilación Si,"Un trastorno congénito de la glucosilación I que se caracteriza por retraso psicomotor, convulsiones, retraso del crecimiento y anomalías cutáneas y oculares y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen MPDU1 del cromosoma 17p13."
http://purl.obolibrary.org/obo/DOID_0080559,trastorno congénito de la glucosilación Ig,"Un trastorno congénito de la glucosilación I que se caracteriza por dismorfismo facial (frente prominente, orejas grandes, labio superior fino), hipotonía generalizada, dificultades de alimentación, retraso del desarrollo de moderado a grave, microcefalia progresiva, infecciones frecuentes de las vías respiratorias superiores debidas a una inmunidad alterada con disminución de los niveles de inmunoglobulinas y disminución de los factores de coagulación y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen que codifica la dolicil-P-manosa:Man-7-GlcNAc-2-PP-dolicil-alfa-6-manosiltransferasa en el cromosoma 22q13."
http://purl.obolibrary.org/obo/DOID_0080560,trastorno congénito de la glucosilación Ih,"Un trastorno congénito de la glucosilación I que se caracteriza por síntomas gastrointestinales (diarrea, vómitos, problemas de alimentación con retraso del crecimiento, enteropatía perdedora de proteínas), edema y ascitis (incluida hidropesía fetal), hepatomegalia, tubulopatía renal, anomalías de la coagulación debidas a trombocitopenia, afectación cerebral (retraso psicomotor, convulsiones, ataxia), dismorfismo facial (orejas de implantación baja y retrognatia), pie equinovaro e hipotonía muscular y tiene_su_base_material_en mutación heterocigota en el gen que codifica la dolicil-P-glucosa:Glc-1-Man-9-GlcNAc-2-PP-dolicil-alfa-3-glucosiltransferasa en el cromosoma 11q14."
http://purl.obolibrary.org/obo/DOID_0080561,trastorno congénito de la glucosilación Ii,"Un trastorno congénito de la glucosilación I que se caracteriza por coloboma del iris, cataratas, espasmos infantiles, retraso del desarrollo y factores de coagulación anormales y tiene_su_base_material_en una mutación heterocigota compuesta en el gen ALG2 del cromosoma 9q22."
http://purl.obolibrary.org/obo/DOID_0080562,trastorno congénito de la glucosilación Ij,"Un trastorno congénito de la glucosilación I que se caracteriza por hipotonía, convulsiones intratables, retraso del desarrollo, microcefalia e hipocinesia fetal grave y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen DPAGT1,que codifica la UDP-GlcNAc:dolicilfosfato N-acetilglucosamina fosfotransferasa, en el cromosoma 11q23."
http://purl.obolibrary.org/obo/DOID_0080563,trastorno congénito de la glucosilación Ik,"Un trastorno congénito de la glucosilación I que se caracteriza por un grave retraso psicomotor y del desarrollo, hipotonía muscular, convulsiones intratables de aparición temprana y microcefalia y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen que codifica la beta-1,4-manosiltransferasa en el cromosoma 16p13."
http://purl.obolibrary.org/obo/DOID_0080564,trastorno congénito de la glucosilación Il,"Un trastorno congénito de la glucosilación I que se caracteriza por microcefalia progresiva, hipotonía, retraso del desarrollo, epilepsia infantil resistente a los fármacos y hepatomegalia y tiene_su_base_material_en mutación homocigota en el gen ALG9 del cromosoma 11q23."
http://purl.obolibrary.org/obo/DOID_0080565,trastorno congénito de la glucosilación Im,"Un trastorno congénito de la glucosilación I que se caracteriza por hipotonía muscular e ictiosis y tiene_su_base_material_en mutación homocigota en el gen DOLK, que codifica la enzima responsable del paso final de la biosíntesis de novo del fosfato de dolicol, en el cromosoma 9q34."
http://purl.obolibrary.org/obo/DOID_0080566,trastorno congénito de la glucosilación I,"Un trastorno congénito de la glucosilación I que se caracteriza por una succión mal coordinada que provoca dificultad para alimentarse y retraso del crecimiento, sacudidas mioclónicas con hipotonía y reflejos bruscos que progresan a un trastorno convulsivo, ojos errantes, retraso del desarrollo, contacto visual de pobre a ausente y pérdida auditiva neurosensorial y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen RFT1 en el cromosoma 3p21."
http://purl.obolibrary.org/obo/DOID_0080567,trastorno congénito de la glucosilación Ip,"Un trastorno congénito de la glucosilación I que se caracteriza por dismorfismo facial (microcefalia, frente alta, línea posterior del cabello baja, estrabismo), hipotonía, retraso del crecimiento, convulsiones intratables, retraso del desarrollo, vómitos persistentes y hemorragia gástrica y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen ALG11 del cromosoma 13q14."
http://purl.obolibrary.org/obo/DOID_0080568,trastorno congénito de la glucosilación Iq,"Un trastorno congénito de la glucosilación I que se caracteriza por un fenotipo muy variable que se presenta típicamente con deficiencia visual grave, anomalías oculares variables (como hipoplasia/atrofia del nervio óptico, coloboma del iris y del nervio óptico, catarata congénita, glaucoma), discapacidad intelectual, anomalías cerebelosas, nistagmo, hipotonía, ataxia y/o lesiones cutáneas ictiosiformes y tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen SRD5A3 del cromosoma 4q12."
http://purl.obolibrary.org/obo/DOID_0080569,trastorno congénito de la glucosilación Ir,"Un trastorno congénito de la glucosilación I que se caracteriza por retraso en el crecimiento, retraso en el desarrollo, hipotonía, estrabismo y disfunción hepática y tiene_su_base_material_en mutación heterocigota compuesta en el gen DDOST del cromosoma 1p36."
http://purl.obolibrary.org/obo/DOID_0080570,trastorno congénito de la glicosilación It,"Un trastorno congénito de la glicosilación I que se caracteriza por una amplia gama de manifestaciones clínicas, presentándose más comúnmente con úvula bífida con o sin paladar hendido al nacer, asociada a retraso del crecimiento, hepatopatía con niveles séricos elevados de aminotransferasa, miopatía (incluyendo fatiga relacionada con el ejercicio, intolerancia al ejercicio, debilidad muscular), hipoglucemia intermitente, y cardiomiopatía dilatada y/o paro cardiaco, debido a la disminución de la actividad de la enzima fosfoglucomutasa 1 y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen PGM1 del cromosoma 1p31."
http://purl.obolibrary.org/obo/DOID_0080571,trastorno congénito de la glucosilación Iu,"Un trastorno congénito de la glucosilación I que se caracteriza por dificultad respiratoria e hipotonía grave al nacer, retraso global grave del desarrollo, convulsiones intratables de aparición precoz, facies miopáticas con dismorfismo craneofacial (trigonocefalia/microcefalia progresiva, línea anterior del cabello baja, cejas arqueadas, hipotelorismo, estrabismo, nariz pequeña, surco nasolabial prominente, labio superior delgado, paladar de arco alto, micrognatia, maloclusión), contracturas congénitas graves de las articulaciones en flexión y niveles séricos elevados de creatina cinasa y tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen DPM2 del cromosoma 9q34."
http://purl.obolibrary.org/obo/DOID_0080572,trastorno congénito de la glucosilación Iw,"Un trastorno congénito de la glucosilación I que se caracteriza por retraso del desarrollo, discapacidad intelectual, retraso del crecimiento, hipotonía y convulsiones y tiene_su_base_material_en una mutación homocigota en el gen STT3A del cromosoma 11q24."
http://purl.obolibrary.org/obo/DOID_0080573,trastorno congénito de la glucosilación Ix,"Un trastorno congénito de la glucosilación I que se caracteriza por retraso del crecimiento intrauterino, microcefalia, retraso del crecimiento, retraso del desarrollo, discapacidad intelectual, hipotonía, convulsiones, atrofia del nervio óptico y dificultades respiratorias y tiene_su_base_material_en una mutación homocigota en el gen STT3B del cromosoma 3p23."
http://purl.obolibrary.org/obo/DOID_0080574,trastorno congénito de la glucosilación Iy,"Un trastorno congénito de la glucosilación I que se caracteriza por anomalías neurológicas (retraso global del desarrollo del lenguaje, de las habilidades sociales y del desarrollo motor fino y grueso, discapacidad intelectual, hipotonía, microcefalia, convulsiones/epilepsia), dismorfismo facial (ojos hundidos, orejas grandes, bermellón hipoplásico del labio superior, boca grande con dientes muy separados), problemas de alimentación debidos a menudo a dificultades de masticación y aversión a los alimentos con determinadas texturas, retraso del crecimiento, anomalías gastrointestinales (reflujo o vómitos) y estrabismo y tiene_su_base_material_en mutación hemicigota en el gen SSR4 del cromosoma Xq28."
http://purl.obolibrary.org/obo/DOID_0080587,síndrome miasténico congénito 22,"Síndrome miasténico congénito caracterizado por hipotonía neonatal, problemas de alimentación neonatal y disartria nasal y que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen PREPL del cromosoma 2p21."
http://purl.obolibrary.org/obo/DOID_3635,síndrome miasténico congénito,"Enfermedad de la unión neuromuscular que se caracteriza por debilidad y fácil fatigabilidad como resultado de un defecto genético en la unión donde el nervio estimula la actividad muscular que da lugar a debilidad muscular y puede afectar a las células nerviosas (presináptica), a las células musculares (postsináptica) o al espacio entre las células nerviosas y musculares (sináptica)."
http://purl.obolibrary.org/obo/DOID_0080589,Síndrome de Klippel-Feil 1,Un síndrome de Klippel-Feil que tiene_su_base_material_en una mutación heterocigota en el gen GDF6 en el cromosoma 8q22.
http://purl.obolibrary.org/obo/DOID_10426,Síndrome de Klippel-Feil,Trastorno físico que se caracteriza por una segmentación anormal de la vértebra durante el desarrollo fetal que da lugar a una fusión localizada en la vértebra cervical.
http://purl.obolibrary.org/obo/DOID_0080590,Síndrome de Klippel-Feil 2,Un síndrome de Klippel-Feil que tiene_su_base_material_en una mutación homocigota en el gen MEOX1 en el cromosoma 17q21.
http://purl.obolibrary.org/obo/DOID_0080591,Síndrome de Klippel-Feil 3,Un síndrome de Klippel-Feil que tiene_su_base_material_en una mutación heterocigota en el gen GDF3 del cromosoma 12p13.
http://purl.obolibrary.org/obo/DOID_0080592,Síndrome de Klippel-Feil 4,Un síndrome de Klippel-Feil que tiene_su_base_material_en una mutación homocigota en el gen MYO18B en el cromosoma 22q12.
http://purl.obolibrary.org/obo/DOID_0080593,hendidura orofacial 6,Una hendidura orofacial que tiene_su_base_material_en la variación de un potenciador del gen IRF6 en el cromosoma 1q32.
http://purl.obolibrary.org/obo/DOID_0080625,neutropenia congénita grave 1,Una neutropenia congénita grave que tiene_su_base_material_en mutación heterocigota en el gen de la elastasa de neutrófilos en el cromosoma 19p13.
http://purl.obolibrary.org/obo/DOID_0080633,defecto valvular cardíaco del desarrollo,Un trastorno físico que tiene_base_en una mutación homocigota o heterocigota compuesta en el gen PLD1 del cromosoma 3q26.
http://purl.obolibrary.org/obo/DOID_0080700,síndrome de regresión caudal,Trastorno físico que se caracteriza por una deficiencia en el desarrollo de la mitad inferior del cuerpo.
http://purl.obolibrary.org/obo/DOID_0080720,sordera congénita autosómica dominante con onicodistrofia,Síndrome que se caracteriza por la herencia autosómica dominante de la sordera congénita y la onicodistrofia y que tiene_su_base_material_en una mutación heterocigota en el gen ATP6V1B2 del cromosoma 8p21.
http://purl.obolibrary.org/obo/DOID_0080833,laringomalacia,Enfermedad laríngea que se caracteriza por el colapso hacia dentro de las estructuras supraglóticas flácidas durante la inspiración. El síntoma más común es una respiración ruidosa (estridor) que suele empeorar cuando el bebé está boca arriba o llora.
http://purl.obolibrary.org/obo/DOID_0080835,síndrome TORCH,"Síndrome que se caracteriza por la infección congénita por toxoplasmosis, rubéola, citomegalovirus, herpes simple y otros organismos."
http://purl.obolibrary.org/obo/DOID_0080895,hemangioma congénito de involución rápida,Un hemangioma que se caracteriza por una regresión completa.
http://purl.obolibrary.org/obo/DOID_0080978,artrogriposis múltiple congénita-1,Una artrogriposis múltiple congénita que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen LGI4 del cromosoma 19q13.
http://purl.obolibrary.org/obo/DOID_0080979,artrogriposis múltiple congénita-3,"Una artrogriposis múltiple congénita que se caracteriza por disminución de los movimientos fetales, hipotonía, defectos esqueléticos variables, incluidos pie zambo y escoliosis, y retraso en los hitos motores con dificultad para caminar y que tiene_su_base_material_en mutación homocigota o heterocigota compuesta en el gen SYNE1 del cromosoma 6q25."
http://purl.obolibrary.org/obo/DOID_0080980,artrogriposis múltiple congénita-4,Una artrogriposis múltiple congénita que tiene_su_base_material_en una mutación homocigota en el gen SCYL2 del cromosoma 12q23.
http://purl.obolibrary.org/obo/DOID_0080981,artrogriposis múltiple congénita-5,Una artrogriposis múltiple congénita que tiene_su_base_material_en una mutación homocigota o heterocigota compuesta en el gen TOR1A del cromosoma 9q34.
http://purl.obolibrary.org/obo/DOID_0081015,fibrosis congénita de los músculos extraoculares 1,Fibrosis congénita de los músculos extraoculares que se caracteriza por blefaroptosis bilateral y oftalmoplejía con los ojos fijos en posición infradirigida unos 20 a 30 grados por debajo de la línea media horizontal y que tiene_su_base_material_en mutación heterocigota en el gen KIF21A del cromosoma 12q12.
